经方方证 JUnit 测试套件 —— 运行报告
生成时间：2026-09-22T12:59:29.888974800
用例总数：280，通过 259，失败 21，跳过 0，总墙钟 105.7s

──────── 全部用例（按 @Order 排序） ────────
PASS   ShaoyinTaiyinFangzhengTest         shouldDiagnoseLizhongTangPattern 「理中汤证诊断」           0.33s  @Order(191)
PASS   ShaoyinTaiyinFangzhengTest         shouldDiagnoseSiniTangPattern    「四逆汤证诊断（太阴少阴合病）」     0.36s  @Order(192)
PASS   ShaoyinTaiyinFangzhengTest         t_tongmaisinitang                「通脉四逆汤证」           0.32s  @Order(193)
PASS   ShaoyinTaiyinFangzhengTest         t_tongmaisinijiazhudanzhitang    「通脉四逆加猪胆汁汤证」       0.38s  @Order(194)
PASS   ShaoyinTaiyinFangzhengTest         t_sinijiarenshentang             「四逆加人参汤证」          0.47s  @Order(195)
PASS   ShaoyinTaiyinFangzhengTest         t_fulingsinitang                 「茯苓四逆汤证」           0.32s  @Order(196)
PASS   ShaoyinTaiyinFangzhengTest         t_baitongtang                    「白通汤证」             0.32s  @Order(197)
PASS   ShaoyinTaiyinFangzhengTest         t_baitongjiazhudanzhitang        「白通加猪胆汁汤证」         0.39s  @Order(198)
PASS   ShaoyinTaiyinFangzhengTest         t_ganjiangfuzitang               「干姜附子汤证」           0.34s  @Order(199)
PASS   ShaoyinTaiyinFangzhengTest         shouldDiagnoseZhenwuTangPattern  「真武汤证诊断」           0.39s  @Order(200)
PASS   ShaoyinTaiyinFangzhengTest         t_fuzitang                       「附子汤证」             0.36s  @Order(201)
PASS   ShaoyinTaiyinFangzhengTest         t_taohuatang                     「桃花汤证」             0.38s  @Order(209)
PASS   ShaoyinTaiyinFangzhengTest         t_huanglianejiaotang             「黄连阿胶汤证」           0.38s  @Order(210)
PASS   ShaoyinTaiyinFangzhengTest         t_zhufutang                      「猪肤汤证」             0.38s  @Order(211)
FAIL   ShaoyinTaiyinFangzhengTest         t_gancaotang                     「甘草汤证」             0.33s  @Order(212)
       └─ expected: "Shaoyinbing" but was: null
