Changyudaoqixiongshang;Danyuyinre;Fuman;Ganzhe                         | rc=1 | T1=None                                   | Xuanfuhuatangzheng(2/2,j=0.33,p3)R Guizhijiashaoyaotangzheng(1/2,j=0.14,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.14,p3) Jijiaolihuangwanzheng(1/2,j=0.14,p3)
Fuman;Keni;Shishituzhuo                                                | rc=1 | T1=None                                   | Zaojiawanzheng(2/2,j=0.50,p2)R Guizhijiashaoyaotangzheng(1/2,j=0.20,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.20,p3) Jijiaolihuangwanzheng(1/2,j=0.20,p3)
Fanman;Feiyong;Fuman;Kesou;Weire;Xiongzhongjiacuo                      | rc=1 | T1=None                                   | Qianjinweijingtangzheng(4/4,j=0.57,p2)R Guizhijiashaoyaotangzheng(1/2,j=0.13,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.13,p3) Jijiaolihuangwanzheng(1/2,j=0.13,p3)
Budewo;Chuan;Feiyong;Fuman;Xiongman                                    | rc=1 | T1=None                                   | Tinglidazaoxiefeitangzheng(3/3,j=0.43,p2)R Mufangjitangzheng(2/4,j=0.22,p2) Guizhijiashaoyaotangzheng(1/2,j=0.13,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.13,p3)
Fuman;Huonishangqi;Yanhoubuli                                          | rc=1 | T1=None                                   | Maimendongtangzheng(2/2,j=0.40,p3)R Guizhijiashaoyaotangzheng(1/2,j=0.17,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.17,p3) Jijiaolihuangwanzheng(1/2,j=0.17,p3)
Chuan;Fuman;Kesou                                                      | rc=1 | T1=None                                   | Zeqitangzheng(2/2,j=0.40,p3)R Yuebijiabanxiatangzheng(2/3,j=0.33,p3) Guizhijiashaoyaotangzheng(1/2,j=0.17,p3) Houposhengjiangbanxiagancaorenshentangzheng(1/2,j=0.17,p3)
Budeyu;Koujin;Shentibunengzishouchi;Shouzuleng;Xiaoke                  | rc=2 | T1=None                                   | Xumingtangzheng(3/3,j=0.50,p1)R Dangguisinitangzheng(1/2,j=0.14,p3)R Dangguisinijiawuzhuyushengjiangtangzheng(1/3,j=0.13,p3) Fulinggancaotangzheng(1/4,j=0.11,p3)
Ehan;Fare;Gujietengfan;Kouku;Wanglaihanre;Weiou;Xinxiazhijie;Xiongxiekuman | rc=2 | T1=None                                   | Chaihuguizhitangzheng(4/5,j=0.36,p3)R Chaihubaihutangzheng(4/6,j=0.33,p2) Xiaochaihutangzheng(3/9,j=0.19,p3)R Mahuanglianqiaochixiaodoutangzheng(2/3,j=0.18,p3)
Ehan;Fuman;Hanshanfutong;Shentong;Shouzuburen;Shouzunileng             | rc=1 | T1=None                                   | Wutouguizhitangzheng(3/3,j=0.33,p3)R Yiwuguaditangzheng(2/4,j=0.18,p3) Guizhiqushaoyaojiafuzitangzheng(1/2,j=0.10,p2) Guizhijiashaoyaotangzheng(1/2,j=0.10,p3)
Ehan;Fare;Kouku;Wanglaihanre;Xiongxiekuman                             | rc=1 | T1=None                                   | Chaihubaihutangzheng(4/6,j=0.44,p2) Mahuanglianqiaochixiaodoutangzheng(2/3,j=0.25,p3) Baihehuashisanzheng(2/3,j=0.25,p5) Xiaochaihutangzheng(3/9,j=0.23,p3)R
Ehan;Fare;Runvezhuang;Yirizaifa                                        | rc=1 | T1=None                                   | Guizhiermahuangyitangzheng(4/4,j=0.80,p3)R Mahuanglianqiaochixiaodoutangzheng(2/3,j=0.33,p3) Guizhimahuanggebantangzheng(2/4,j=0.29,p3) Guizhieryuebiyitangzheng(2/5,j=0.25,p3)
Ehan;Fare;Mianyourese;Shenyang                                         | rc=1 | T1=None                                   | Guizhimahuanggebantangzheng(4/4,j=0.80,p3)R Mahuanglianqiaochixiaodoutangzheng(2/3,j=0.33,p3) Guizhiermahuangyitangzheng(2/4,j=0.29,p3) Guizhieryuebiyitangzheng(2/5,j=0.25,p3)
Ehan;Fare;Kouke;Reduohanshao                                           | rc=1 | T1=None                                   | Guizhieryuebiyitangzheng(5/5,j=0.83,p3)R Chaihubaihutangzheng(3/6,j=0.33,p2) Zhulingtangzheng(2/3,j=0.29,p2) Mahuanglianqiaochixiaodoutangzheng(2/3,j=0.29,p3)
Chaore;Dabianying;Ehan;Fare;Fuman;Kouke;Wuhan;Yinshirugu               | rc=1 | T1=None                                   | Houpoqiwutangzheng(3/3,j=0.27,p2)R Guizhieryuebiyitangzheng(3/5,j=0.23,p3) Chaihubaihutangzheng(3/6,j=0.21,p2) Zhulingtangzheng(2/3,j=0.17,p2)
Shouzujueni;Shouzuleng;Tunongxue;Xialibuzhi;Xiaoke;Yanhoubuli          | rc=2 | T1=None                                   | Mahuangshengmatangzheng(4/4,j=0.50,p2)R Dangguisinitangzheng(1/2,j=0.11,p3)R Dangguisinijiawuzhuyushengjiangtangzheng(1/3,j=0.10,p3) Shengmabiejiatangzheng(1/3,j=0.10,p3)
Danyumei;Fanzaoyusi;Ganou;Shiguyuou;Shouzunileng;Toutong;Tuli;Tuxianmo | rc=1 | T1=None                                   | Wuzhuyutangzheng(6/6,j=0.60,p3)R Baitongjiazhudanzhitangzheng(1/2,j=0.09,p1) Mahuangfuzigancaotangzheng(1/2,j=0.09,p3) Sinitangzheng(1/3,j=0.08,p1)
Buyushi;Ji;Kouku;Qicongshaofushangchongxin;Shizetuhui;Shouzuleng;Xiaoke;Xinzhongtengre | rc=2 | T1=None                                   | Wumeiwanzheng(5/8,j=0.42,p2)R Dangguisinitangzheng(1/2,j=0.10,p3)R Dangguisinijiawuzhuyushengjiangtangzheng(1/3,j=0.09,p3) Fulinggancaotangzheng(1/4,j=0.08,p3)
Bukequshen;Guanjietengtong;Shouzuleng;Xiaoke                           | rc=2 | T1=None                                   | Wutoutangzheng(2/2,j=0.33,p2)R Dangguisinitangzheng(1/2,j=0.14,p3)R Dangguisinijiawuzhuyushengjiangtangzheng(1/3,j=0.13,p3) Fulinggancaotangzheng(1/4,j=0.11,p3)
Danyumei;Raoqihanshan;Raoqitong;Ruofazebaihanchu;Shouzuleng            | rc=2 | T1=None                                   | Dawutoujianzheng(4/4,j=0.57,p1)R Sinitangzheng(2/3,j=0.25,p1)R Mahuangfuzigancaotangzheng(1/2,j=0.13,p3) Tongmaisinitangzheng(1/4,j=0.10,p1)
Danyumei;Hanqijueni                                                    | rc=1 | T1=None                                   | Chiwanzheng(1/1,j=0.25,p1)R Mahuangfuzigancaotangzheng(1/2,j=0.20,p3) Sinitangzheng(1/3,j=0.17,p1)
Shouzuleng;Xiaoke                                                      | rc=1 | T1=None                                   | Dangguisinitangzheng(2/2,j=0.40,p3)R Dangguisinijiawuzhuyushengjiangtangzheng(1/3,j=0.14,p3) Fulinggancaotangzheng(1/4,j=0.13,p3) Wumeiwanzheng(1/8,j=0.08,p2)
Futong;Neiyoujiuhan;Ou;Shouzuleng;Xiaoke                               | rc=2 | T1=None                                   | Dangguisinijiawuzhuyushengjiangtangzheng(3/3,j=0.38,p3)R Dangguisinitangzheng(2/2,j=0.25,p3)R Huangliantangzheng(1/3,j=0.10,p2) Fulinggancaotangzheng(1/4,j=0.09,p3)
Danyumei;Hanshanfutong;Liji;Xietong                                    | rc=1 | T1=None                                   | Dangguishengjiangyangroutangzheng(3/3,j=0.50,p3)R Shizaotangzheng(1/2,j=0.14,p1) Huangqijianzhongtangzheng(1/2,j=0.14,p3) Mahuangfuzigancaotangzheng(1/2,j=0.14,p3)
Kouke;Lijihouchong;Shouzuleng;Xiali;Xialinongxue;Xiaoke                | rc=3 | T1=None                                   | Baitouwengtangzheng(2/2,j=0.25,p3)R Sinisanzheng(2/5,j=0.18,p3) Huangqintangzheng(1/1,j=0.13,p3) Baihexifangzheng(1/1,j=0.13,p5)R
Shouzuleng;Xiali;Xiaoke;Xufan                                          | rc=2 | T1=None                                   | Baitouwengjiagancaojiaotangzheng(2/2,j=0.33,p3)R Baitouwengtangzheng(1/2,j=0.14,p3) Dangguisinitangzheng(1/2,j=0.14,p3)R Dangguisinijiawuzhuyushengjiangtangzheng(1/3,j=0.13,p3)
