pattern_id,pattern_name,feature,weight,abs_weight
fj:WuTouTang_JinKui,乌头汤证（历节）,【金匮5-10】,4.5163,4.5163
fj:WuTouTang_JinKui,乌头汤证（历节）,zz:TengTong,2.1838,2.1838
fj:WuTouTang_JinKui,乌头汤证（历节）,zz:LiJieBuKeQuShen,0.9672,0.9672
fj:XiaYuXueTang,下瘀血汤证,【金匮21-6】,4.8877,4.8877
fj:XiaYuXueTang,下瘀血汤证,zz:FuZhongYouYuXueZhuQiXia,3.0068,3.0068
fj:XiaoBanXiaJiaFuLingTang,小半夏加茯苓汤证,zz:OuTu__AND__zz:KeNi,4.8046,4.8046
fj:XiaoBanXiaJiaFuLingTang,小半夏加茯苓汤证,【金匮12-38】,3.0898,3.0898
fj:XiaoBanXiaJiaFuLingTang_JinKui,小半夏加茯苓汤证（金匮）,【金匮12-40】,3.2638,3.2638
fj:XiaoBanXiaJiaFuLingTang_JinKui,小半夏加茯苓汤证（金匮）,zz:OuTuXuanJi,3.2053,3.2053
fj:XiaoBanXiaJiaFuLingTang_JinKui,小半夏加茯苓汤证（金匮）,zz:GeJianYouShuiQi,1.4254,1.4254
fj:XiaoBanXiaTang_JinKui,小半夏汤证（金匮）,【金匮11-14】,3.9958,3.9958
fj:XiaoBanXiaTang_JinKui,小半夏汤证（金匮）,zz:OuTu__AND__zz:BuKe,2.9921,2.9921
fj:XiaoBanXiaTang_JinKui,小半夏汤证（金匮）,zz:BuKe__AND__zz:ZhiYin,2.808,2.808
fj:XiaoBanXiaTang_JinKui,小半夏汤证（金匮）,zz:ZhuOu,2.156,2.156
fj:XiaoBanXiaTang_JinKui,小半夏汤证（金匮）,【金匮12-37】,0.7369,0.7369
fj:XiaoBanXiaTang_JinKui,小半夏汤证（金匮）,zz:GuBuDeXia,0.3851,0.3851
fj:XiaoBanXiaTang_ZhiYin,小半夏汤证（支饮）,zz:OuTu__AND__zz:BuKe,3.2289,3.2289
fj:XiaoBanXiaTang_ZhiYin,小半夏汤证（支饮）,【金匮12-37】,2.5855,2.5855
fj:XiaoBanXiaTang_ZhiYin,小半夏汤证（支饮）,zz:BuKe__AND__zz:ZhiYin,1.8529,1.8529
fj:XiaoBanXiaTang_ZhuOu,小半夏汤证（金匮诸呕）,【金匮11-14】,3.6212,3.6212
fj:XiaoBanXiaTang_ZhuOu,小半夏汤证（金匮诸呕）,zz:GuBuDeXia,2.044,2.044
fj:XiaoBanXiaTang_ZhuOu,小半夏汤证（金匮诸呕）,zz:ZhuOu,2.002,2.002
fj:XiaoChaiHuJiaFuLingBaiZhuTang,小柴胡加茯苓白术汤证,【10.25】,7.8946,7.8946
fj:XiaoChaiHuTang_ChanHou,小柴胡汤证（产后郁冒）,zz:DanTouHanChu,4.7599,4.7599
fj:XiaoChaiHuTang_ChanHou,小柴胡汤证（产后郁冒）,zz:YuMao,3.1346,3.1346
fj:XiaoJianZhongTang_Fuke,小建中汤证（妇人腹中痛）,【金匮22-18】,7.8946,7.8946
fj:XiaoQingLongJiaShiGaoTang,小青龙加石膏汤证,zz:KeErQiChuan,7.6673,7.6673
fj:XiaoQingLongJiaShiGaoTang_JinKui,小青龙加石膏汤证（肺胀）,zz:KeErQiChuan,7.6673,7.6673
fj:XiaoQingLongTang,小青龙汤证,jj:WaterRetention,7.3231,7.3231
