pattern_id,pattern_name,liujing,clause,total_features,top_features
fj:DaHuangHuangLianHuangQinXieXinTang,大黄黄连黄芩泻心汤证,lj:Taiyang_Instance,【8.33】,3,mx:Pulse_GuanShangFuDa(9.6184); zz:AnZhiRu(8.6184); zz:XinXiaPi(5.2261)
fj:FuZiXieXinTang,附子泻心汤证,lj:Taiyang_Instance,【8.34】,3,zz:EHan(6.159); zz:HanChu(5.3705); zz:XinXiaPi(5.2261)
fj:ShengJiangXieXinTang,生姜泻心汤证,lj:Taiyang_Instance,【8.36】,5,zz:ShiFu(9.6184); zz:XieXiaYouShuiQi(9.6184); zz:ZiLi(6.6184); zz:GanOu(5.7115); zz:XinXiaPi(5.2261)
fj:GanCaoXieXinTang,甘草泻心汤证,lj:Taiyang_Instance,【8.37】,4,zz:XinFan(7.0334); zz:ZiLi(6.6184); zz:GanOu(5.7115); zz:XinXiaPi(5.2261)
fj:ChiShiZhiYuYuLiangTang,赤石脂禹余粮汤证,lj:Taiyang_Instance,【8.38】,2,zz:ZiLi(6.6184); zz:XinXiaPi(5.2261)
fj:XuanFuDaiZheTang,旋覆代赭汤证,lj:Taiyang_Instance,【8.40】,2,zz:YiQi(9.6184); zz:XinXiaPi(5.2261)
fj:GuiZhiRenShenTang,桂枝人参汤证,lj:Taiyang_Instance,【8.41】,2,zz:ZiLi(6.6184); zz:XinXiaPi(5.2261)
fj:GuaDiSan,瓜蒂散证,lj:Taiyang_Instance,【8.44】,3,zz:XiongZhongPi(9.6184); zz:QiShangChongYanHou(9.6184); zz:BuDeXi(9.6184)
fj:HuangQinTang,黄芩汤证,lj:Shaoyang_Instance,【8.50】,1,zz:ZiLi(6.6184)
fj:HuangQinJiaBanXiaShengJiangTang,黄芩加半夏生姜汤证,lj:Shaoyang_Instance,【8.50】,2,zz:ZiLi(6.6184); zz:GanOu(5.7115)
fj:HuangLianTang,黄连汤证,lj:Taiyang_Instance,【8.51】,2,zz:YuOu(7.6184); zz:FuTong(5.2965)
fj:ZhiGanCaoTang,炙甘草汤证,lj:Taiyang_Instance,【8.53】,2,zz:XinDongJi(9.6184); mx:Pulse_Jie(9.6184)
fj:BaiMiJian,白蜜煎证,lj:Yangming_Instance,【9.56】,3,zz:TouTong(8.0334); zz:ChaoRe(7.6184); zz:DuanQi(6.811)
fj:ZhuDanZhiDao,猪胆汁导证,lj:Yangming_Instance,【9.57】,2,zz:JinYeNeiJie(9.6184); zz:DaBianYing(7.6184)
fj:WuZhuYuTang,吴茱萸汤证（阳明）,lj:Yangming_Instance,【9.67】,1,zz:ShiGuYuOu(9.6184)
fj:XiaoBanXiaTang,小半夏汤证,lj:Yangming_Instance,【9.67】,1,zz:Ou(8.0334)
pattern_id,pattern_name,liujing,clause,4,symptom_list(7.0334); pulse_list(7.0334); tongue_list(7.0334); jianjia_list(7.0334)
fj:ZhiZiDaHuangTang,栀子大黄汤证,lj:Yangming_Instance,【9.87】,5,zz:ReTong(8.6184); jj:Shi(8.6184); zz:XinZhongAoNong(8.0334); zz:HuangDan(6.0334); zz:FaRe(5.2965)
fj:ZhuGaoFaJian,猪膏发煎证,lj:Yangming_Instance,【9.88】,3,zz:JinYeKuZao(8.6184); zz:SeAnBuMing(8.6184); zz:HuangDan(6.0334)
fj:DaHuangXiaoShiTang,大黄硝石汤证,lj:Yangming_Instance,【9.89】,4,zz:ZiHan(8.0334); zz:HuangDan(6.0334); zz:FuMan(5.6184); zz:XiaoBianBuLi(5.0948)
fj:GuiZhiJiaHuangQiTang,桂枝加黄芪汤证,lj:Taiyang_Instance,【9.92】,4,zz:LiangJingLeng(9.6184); zz:YaoYiShangHanChu(9.6184); zz:YaoKuiChiTong(8.0334); zz:HuangHan(7.2965)
fj:XiaoJianZhongTang,小建中汤证（阳明）,lj:Yangming_Instance,【9.93】,4,zz:XuLaoLiJi(9.6184); zz:XiaoBianZiLi(8.0334); zz:HuangDan(6.0334); zz:FuTong(5.2965)
fj:LiZhongTang,理中汤证（阳明）,lj:Yangming_Instance,【9.98】,2,zz:FuTongRaoQi(9.6184); zz:GuQiBuXing(9.6184)
fj:HouPoQiWuTang,厚朴七物汤证,lj:Yangming_Instance,,4,【9.99】(9.6184); zz:YinShiRuGu(8.6184); zz:FuMan(5.6184); zz:FaRe(5.2965)
fj:FuZiJingMiTang,附子粳米汤证,lj:Taiyin_Instance,【9.100】,4,zz:FuZhongQieTong(8.0334); zz:LeiMing(8.0334); zz:NiMan(8.0334); zz:OuTu(6.6184)
fj:DaJianZhongTang,大建中汤证,lj:Taiyin_Instance,【9.101】,4,zz:YouWuTuQi(9.6184); zz:TongBuKeJin(9.6184); zz:FuZhongHanTong(8.0334); zz:OuBuNengShi(7.6184)
fj:DaHuangFuZiXiXinTang,大黄附子细辛汤证,lj:Taiyin_Instance,,4,【9.102】(9.6184); zz:XieXiaPianTong(8.0334); zz:FaWeiRe(8.0334); zz:FuMan(5.6184)
fj:ChaiHuShaoYaoZhiShiGanCaoTang,柴胡芍药枳实甘草汤证,lj:Shaoyang_Instance,,4,zz:QiShangNi(9.6184); zz:XieXiaTong(9.6184); 【10.5】(9.6184); zz:OuNi(8.6184)
fj:GuiZhiJiaShaoYaoTang,桂枝加芍药汤证,lj:Taiyin_Instance,,2,zz:FuManShiTong(9.6184); 【10.17】(8.6184)
