总实例: 654

===== 含「痛」的实例 (45) =====
  Xiangbeiqiangjiji                          项背强几几   [Xiangbeiqiangjiji]

===== 含「少腹」的实例 (15) =====
  Furenshaofuman                             妇人少腹满   [Furenshaofuman]
  Furenshaofumanrudunzhuang                  妇人少腹满如敦状   [Furenshaofumanrudunzhuang]
  Shaofujiantong                             少腹坚痛   [Shaofujiantong]
  Shaofuxianji                               少腹弦急   [Shaofuxianji]
  Shaofujijie                                少腹急结   [Shaofujijie]
  Shaofuehan                                 少腹恶寒   [Shaofuehan]
  Shaofujuji                                 少腹拘急   [Shaofujuji]
  Shaofuman                                  少腹满   [Shaofuman]
  Shaofutong                                 少腹痛   [Shaofutong]
  Shaofuzhengkuai                            少腹癥块   [Shaofuzhengkuai]
  Shaofuyingman                              少腹硬满   [Shaofuyingman]
  Shaofuzhongpi                              少腹肿痞   [Shaofuzhongpi]
  Shaofuliji                                 少腹里急   [Shaofuliji]
  Qicongshaofushangchongxin                  气从少腹上冲心   [Qicongshaofushangchongxin]
  Qicongshaofushangchongxiongyan             气从少腹上冲胸咽   [Qicongshaofushangchongxiongyan]

===== 含「小便」的实例 (11) =====
  Xiaobianbuli                               小便不利   [Xiaobianbuli]
  Xiaobianfanduo                             小便反多   [Xiaobianfanduo]
  Xiaobianfanshao                            小便反少   [Xiaobianfanshao]
  Xiaobianyiyinteng                          小便已阴疼   [Xiaobianyiyinteng]
  Xiaobianshu                                小便数   [Xiaobianshu]
  Xiaobianzili                               小便自利   [Xiaobianzili]
  Xiaobianzidiao                             小便自调   [Xiaobianzidiao]
  Xiaobiansebai                              小便色白   [Xiaobiansebai]
  Xiaobianchi                                小便赤   [Xiaobianchi]
  Xiaobiannan                                小便难   [Xiaobiannan]
  Xiaobianhuang                              小便黄   [Xiaobianhuang]

===== 含「四肢」的实例 (8) =====
  Sizhilijietong                             四肢历节痛   [Sizhilijietong]
  Sizhiweiji                                 四肢微急   [Sizhiweiji]
  Sizhichenzhongtengtong                     四肢沉重疼痛   [Sizhichenzhongtengtong]
  Sizhifanzhong                              四肢烦重   [Sizhifanzhong]
  Sizhinieniedong                            四肢聂聂动   [Sizhinieniedong]
  Sizhizhong                                 四肢肿   [Sizhizhong]
  Sizhikufanre                               四肢苦烦热   [Sizhikufanre]
  Sizhisuanteng                              四肢酸疼   [Sizhisuanteng]

===== 含「手足」的实例 (8) =====
  Shouzuburen                                手足不仁   [Shouzuburen]
  Shouzuleng                                 手足冷   [Shouzuleng]
  Shouzujueni                                手足厥逆   [Shouzujueni]
  Shouzuwen                                  手足温   [Shouzuwen]
  Shouzujiranhanchu                          手足濈然汗出   [Shouzujiranhanchu]
  Shouzufanre                                手足烦热   [Shouzufanre]
  Shouzuzaorao                               手足躁扰   [Shouzuzaorao]
  Shouzunileng                               手足逆冷   [Shouzunileng]

===== 含「身」的实例 (29) =====
  Yishenjinteng                              一身尽疼（例）   [Yishenjinteng]
  Yishenjinzhong                             一身尽重   [Yishenjinzhong]
  Yishenxizhong                              一身悉肿   [Yishenxizhong]
  Yishenmianmuhuangzhong                     一身面目黄肿   [Yishenmianmuhuangzhong]
  Xiaoyoulaoshenjire                         小有劳身即热   [Xiaoyoulaoshenjire]
  Zhenzhenshenrunju                          振振身瞤剧   [Zhenzhenshenrunju]
  Shenweizhenzhenyao                         身为振振摇   [Shenweizhenzhenyao]
  Shentiburen                                身体不仁   [Shentiburen]
  Shentibunengzishouchi                      身体不能自收持   [Shentibunengzishouchi]
  Shentiwanglei                              身体尪羸   [Shentiwanglei]
  Shentiqiangjiji                            身体强几几   [Shentiqiangjiji]
  Shentizhong                                身体肿   [Shentizhong]
  Shendahan                                  身大寒   [Shendahan]
  Shenruchongxingpizhong                     身如虫行皮中   [Shenruchongxingpizhong]
  Shenhan                                    身寒   [Shenhan]
  Shenxingruhe                               身形如和   [Shenxingruhe]
  Shenweizhong                               身微肿   [Shenweizhong]
  Shenwure                                   身无热   [Shenwure]
  Shenyouchuang                              身有疮   [Shenyouchuang]
  Shenzhuore                                 身灼热   [Shenzhuore]
  Shenre                                     身热   [Shenre]
  Shenrebuqu                                 身热不去   [Shenrebuqu]
  Shentengfan                                身疼烦   [Shentengfan]
  Shenyang                                   身痒   [Shenyang]
  Shentong                                   身痛   [Shentong]
  Shenrundong                                身瞤动   [Shenrundong]
  Shenseruxunhuang                           身色如熏黄   [Shenseruxunhuang]
  Shenzhong                                  身重   [Shenzhong]
  Shenhuang                                  身黄   [Shenhuang]

===== 含「面」的实例 (14) =====
  Yishenmianmuhuangzhong                     一身面目黄肿   [Yishenmianmuhuangzhong]
  MirrorTongue                               镜面舌   [MirrorTongue]
  Miangou                                    面垢   [Miangou]
  Mianyourese                                面有热色   [Mianyourese]
  Mianfu                                     面浮   [Mianfu]
  Mianre                                     面热   [Mianre]
  Mianmuzhachizhaheizhabai                   面目乍赤乍黑乍白   [Mianmuzhachizhaheizhabai]
  Miansewuhua                                面色无华   [Miansewuhua]
  Miansebai                                  面色白   [Miansebai]
  Mianseweihuang                             面色萎黄   [Mianseweihuang]
  Mianseqing                                 面色青   [Mianseqing]
  Mianselihei                                面色黧黑   [Mianselihei]
  Mianchi                                    面赤   [Mianchi]
  Mianchibanbanrujinwen                      面赤斑斑如锦纹   [Mianchibanbanrujinwen]

===== 含「目」的实例 (17) =====
  Yishenmianmuhuangzhong                     一身面目黄肿   [Yishenmianmuhuangzhong]
  Liangmuanhei                               两目黯黑   [Liangmuanhei]
  Muxiayouwocan                              目下有卧蚕   [Muxiayouwocan]
  Mubudebi                                   目不得闭   [Mubudebi]
  Muzhongbulele                              目中不了了   [Muzhongbulele]
  Muhezehan                                  目合则汗   [Muhezehan]
  Murutuozhuang                              目如脱状   [Murutuozhuang]
  Muqizichu                                  目泣自出   [Muqizichu]
  Muteng                                     目疼   [Muteng]
  Muxuan                                     目眩   [Muxuan]
  Muming                                     目瞑   [Muming]
  Murundong                                  目瞤动   [Murundong]
  Mukeshangweiyong                           目窠上微拥   [Mukeshangweiyong]
  Muchi                                      目赤   [Muchi]
  Muchirujiuyan                              目赤如鸠眼   [Muchirujiuyan]
  Muhuang                                    目黄   [Muhuang]
  Mianmuzhachizhaheizhabai                   面目乍赤乍黑乍白   [Mianmuzhachizhaheizhabai]

===== 含「咳」的实例 (4) =====
  Ketuo                                      咳唾   [Ketuo]
  Kesou                                      咳嗽   [Kesou]
  Keershangqi                                咳而上气   [Keershangqi]
  Keni                                       咳逆   [Keni]

===== 含「呕」的实例 (12) =====
  Buou                                       不呕   [Buou]
  Ou                                         呕   [Ou]
  Outu                                       呕吐   [Outu]
  Outubuzhi                                  呕吐不止   [Outubuzhi]
  Oujiabenke                                 呕家本渴   [Oujiabenke]
  Ouni                                       呕逆   [Ouni]
  Xiou                                       喜呕   [Xiou]
  Renshenoutubuzhi                           妊娠呕吐不止   [Renshenoutubuzhi]
  Ganou                                      干呕   [Ganou]
  Weiou                                      微呕   [Weiou]
  Yuou                                       欲呕   [Yuou]
  Shiguyuou                                  食谷欲呕   [Shiguyuou]

===== 含「吐」的实例 (25) =====
  Butu                                       不吐   [Butu]
  Koutuxian                                  口吐涎   [Koutuxian]
  Tu                                         吐   [Tu]
  Tuli                                       吐利   [Tuli]
  ProtrudingTongue                           吐弄舌   [ProtrudingTongue]
  Tuzhuo                                     吐浊   [Tuzhuo]
  Tuxian                                     吐涎   [Tuxian]
  Tuxianmo                                   吐涎沫   [Tuxianmo]
  Tunong                                     吐脓   [Tunong]
  Tunongrumizhou                             吐脓如米粥   [Tunongrumizhou]
  Tunongxue                                  吐脓血   [Tunongxue]
  Tuhui                                      吐蛔   [Tuhui]
  Tuxue                                      吐血   [Tuxue]
  Tuxuebuzhi                                 吐血不止   [Tuxuebuzhi]
  Outu                                       呕吐   [Outu]
  Outubuzhi                                  呕吐不止   [Outubuzhi]
  Renshenoutubuzhi                           妊娠呕吐不止   [Renshenoutubuzhi]
  Shishituzhuo                               时时吐浊   [Shishituzhuo]
  Yutu                                       欲吐   [Yutu]
  Shuiruzetu                                 水入则吐   [Shuiruzetu]
  Wenwenyutu                                 温温欲吐   [Wenwenyutu]
  Feiweituxianmo                             肺痿吐涎沫   [Feiweituxianmo]
  Shirukoujitu                               食入口即吐   [Shirukoujitu]
  Shizetuhui                                 食则吐蛔   [Shizetuhui]
  Shiyijitu                                  食已即吐   [Shiyijitu]

===== 含「虚」的实例 (11) =====
  Wulaoxuji                                  五劳虚极   [Wulaoxuji]
  JixuKouchiMai                              极虚芤迟脉   [JixuKouchiMai]
  Fuxusemai                                  浮虚涩脉   [Fuxusemai]
  Xulao                                      虚劳   [Xulao]
  Xulaoyaotong                               虚劳腰痛   [Xulaoyaotong]
  Xulaoxufanbudemian                         虚劳虚烦不得眠   [Xulaoxufanbudemian]
  Xufan                                      虚烦   [Xufan]
  Xulei                                      虚羸   [Xulei]
  Xuleishaoqi                                虚羸少气   [Xuleishaoqi]
  Xumai                                      虚脉   [Xumai]
  YangDeficiencyPathomechanism               阳虚寒盛病机   [YangDeficiencyPathomechanism]

===== 含「劳」的实例 (7) =====
  Wulaoxuji                                  五劳虚极   [Wulaoxuji]
  Laofu                                      劳复   [Laofu]
  Nvlaodan                                   女劳疸   [Nvlaodan]
  Xiaoyoulaoshenjire                         小有劳身即热   [Xiaoyoulaoshenjire]
  Xulao                                      虚劳   [Xulao]
  Xulaoyaotong                               虚劳腰痛   [Xulaoyaotong]
  Xulaoxufanbudemian                         虚劳虚烦不得眠   [Xulaoxufanbudemian]

===== 含「精」的实例 (2) =====
  Mengshijing                                梦失精   [Mengshijing]
  Yijing                                     遗精   [Yijing]

===== 含「涩」的实例 (5) =====
  WeiseMai                                   微涩脉   [WeiseMai]
  Furuosemai                                 浮弱涩脉   [Furuosemai]
  Fuxusemai                                  浮虚涩脉   [Fuxusemai]
  Semai                                      涩脉   [Semai]
  Yanyujianse                                言语謇涩   [Yanyujianse]

===== 含「数」的实例 (8) =====
  Xialirishushixing                          下利日数十行   [Xialirishushixing]
  Xiaobianshu                                小便数   [Xiaobianshu]
  ShaoyinMaiHuashu                           少阴脉滑数   [ShaoyinMaiHuashu]
  Xuanshumai                                 弦数脉   [Xuanshumai]
  Shuqianshen                                数欠伸   [Shuqianshen]
  Shumai                                     数脉   [Shumai]
  Hongshumai                                 洪数脉   [Hongshumai]
  Fushumai                                   浮数脉   [Fushumai]

===== 含「细」的实例 (5) =====
  Xianximai                                  弦细脉   [Xianximai]
