共 553 个症状实例

Fare	发热
Shuizhiweibing	水之为病
Shirukoujitu	食入口即吐
Xiaobiannan	小便难
Neiyoujiuhan	内有久寒
Xinxiayouzhiyin	心下有支饮
Kumaoxuan	苦冒眩
Oujiabenke	呕家本渴
Fengshuiefeng	风水恶风
Yuzuobentun	欲作奔豚
Wurezheng	无热证
Hanqijueni	寒气厥逆
Hanshanraogitong	寒疝绕脐痛
Hanshanfutong	寒疝腹痛
Gexianzhiyin	膈间支饮
Gexianyoushui	膈间有水
Duotuokouzao	多唾口燥
Xiaobianzidiao	小便自调
Banchanhouxiaxuebuduan	半产后下血不断
Jueni	厥逆
Shiyijitu	食已即吐
Xiongzhongkui	胸中愦
Fahan	发寒
Miansewuhua	面色无华
Sizhikufanre	四肢苦烦热
Wangxue	亡血
Lizhi	利止
Yishenjinteng	一身尽疼（例）
Zaoshi	燥屎
Zhiyinxiongman	支饮胸满
Chanhouzhongfeng	产后中风
Shiguyuou	食谷欲呕
Ruzuoshuizhong	如坐水中
Kujizhiyuandi	苦极
Shitong	时痛
Shijingjia	失精家
Gejianyoushui	膈间有水
Shaofumantong	少腹满痛
Jinchuang	金疮
Jinyinchuang	浸淫疮
Huichong	蛔虫
Xintongfazuoyoushi	心痛发作有时
Xinzhongpiqi	心中痞气
Dafeng	大风
Churetanxian	除热瘫痫
Rukuangzhuang	如狂状
Shouzujuji	手足拘急
Baijietengtong	百节疼痛
Darupan	大如盘
Bianruxuanpan	边如旋盘
Renbijiaozhi	臂脚直
